지점,지점명,일시,평균기온(°C),평균상대습도(%),평균풍속(m/s),평균지면온도(°C)
108,서울,2016-01,-3.2,53,2.5,-1.4
108,서울,2016-02,.2,52,2.8,1.1
108,서울,2016-03,7,51,2.4,9.1
108,서울,2016-04,14.1,55,2.4,17
108,서울,2016-05,19.6,56,2.4,23.2
108,서울,2016-06,23.6,63,2.1,28.2
108,서울,2016-07,26.2,73,2.1,28.3
108,서울,2016-08,28,64,2.1,31.9
108,서울,2016-09,23.1,65,2,24.9
108,서울,2016-10,16.1,62,2.1,17
108,서울,2016-11,6.8,57,2.2,7.2
108,서울,2016-12,1.2,59,2.2,1.6
108,서울,2017-01,-1.8,55,2.3,-.7
108,서울,2017-02,-.2,54,2.4,1
108,서울,2017-03,6.3,48,2.4,8.1
108,서울,2017-04,13.9,52,2.6,16.9
108,서울,2017-05,19.5,52,2.4,25
108,서울,2017-06,23.3,57,2.4,28.6
108,서울,2017-07,26.9,77,2,28.3
108,서울,2017-08,25.9,71,2.3,27.7
108,서울,2017-09,22.1,61,2,24.2
108,서울,2017-10,16.4,56,1.9,16.8
108,서울,2017-11,5.6,54,2.1,5.4
108,서울,2017-12,-1.9,56,1.8,-1.5
108,서울,2018-01,-4,48,1.9,-2.8
108,서울,2018-02,-1.6,45,2.2,-1.1
108,서울,2018-03,8.1,59,1.9,8.4
108,서울,2018-04,13,55,2,14.5
108,서울,2018-05,18.2,63,1.7,21.1
108,서울,2018-06,23.1,63,1.7,27.9
108,서울,2018-07,27.8,68,1.5,31.3
108,서울,2018-08,28.8,65,1.7,31.8
108,서울,2018-09,21.5,61,1.6,23.5
108,서울,2018-10,13.1,59,1.5,14
108,서울,2018-11,7.8,58,1.4,7.1
108,서울,2018-12,-.6,46,1.8,0
108,서울,2019-01,-.9,46,1.8,-.4
108,서울,2019-02,1,47,1.8,1.6
108,서울,2019-03,7.1,51,2.1,8.2
108,서울,2019-04,12.1,51,1.9,14
108,서울,2019-05,19.4,47,2.1,24.3
108,서울,2019-06,22.5,61,1.7,26.5
108,서울,2019-07,25.9,69,1.8,28.4
108,서울,2019-08,27.2,69,1.6,28.9
108,서울,2019-09,22.6,65,2.2,24
108,서울,2019-10,16.4,62,2.1,17.1
108,서울,2019-11,7.6,56,2.2,7.6
108,서울,2019-12,1.4,58,2.1,1.6
108,서울,2020-01,1.6,56,2.1,1
108,서울,2020-02,2.5,58,2.3,3.1
108,서울,2020-03,7.7,46,2.5,8.9
108,서울,2020-04,11.1,50,3,15.4
108,서울,2020-05,18,67,2.4,21.4
108,서울,2020-06,23.9,68,2.3,28.7
108,서울,2020-07,24.1,77,2.4,25.8
108,서울,2020-08,26.5,85,2.3,27
108,서울,2020-09,21.4,71,2.5,22.4
108,서울,2020-10,14.3,61,2.1,14.4
108,서울,2020-11,8,64,2.2,8.1
108,서울,2020-12,-.3,58,2.2,-.4
108,서울,2021-01,-2.4,58,2.5,-2
108,서울,2021-02,2.7,56,2.6,2.3
108,서울,2021-03,9,63,2.4,9.7
108,서울,2021-04,14.2,54,2.6,15.7
108,서울,2021-05,17.1,68,2.4,18.8
108,서울,2021-06,22.8,73,2.2,25.2
108,서울,2021-07,28.1,71,2,29.7
108,서울,2021-08,25.9,74,2.1,28.2
108,서울,2021-09,22.6,71,2.3,24.6
108,서울,2021-10,15.6,70,2.1,16.7
108,서울,2021-11,8.2,68,2.1,7.9
108,서울,2021-12,.6,62,2.3,.8
108,서울,2022-01,-2.2,55,2.2,-1.6
108,서울,2022-02,-1.1,55,2.6,.8
108,서울,2022-03,7.7,62,2.5,8.3
108,서울,2022-04,14.8,55,2.7,18.1
108,서울,2022-05,19.1,55,2.6,25.2
108,서울,2022-06,23.3,73,2.5,25.8
108,서울,2022-07,27.3,77,2.1,29.1
108,서울,2022-08,25.7,80,2.3,26.8
108,서울,2022-09,22.4,68,2.4,24
108,서울,2022-10,14.6,69,2.2,15.7
108,서울,2022-11,10,65,2.1,9.5
108,서울,2022-12,-2.8,59,2.3,-1.8
108,서울,2023-01,-1.5,63,2.4,-1.2
108,서울,2023-02,2.3,59,2.3,2
108,서울,2023-03,9.8,51,2.3,9.9
108,서울,2023-04,13.8,60,2.5,15.6
108,서울,2023-05,19.5,63,2.3,23.2
108,서울,2023-06,23.4,73,2.2,26.5
108,서울,2023-07,26.7,81,2.1,28.2
108,서울,2023-08,27.2,76,2.2,29.2
108,서울,2023-09,23.7,74,2,25.4
108,서울,2023-10,15.8,67,1.9,16.1
108,서울,2023-11,6.8,65,2.6,7
108,서울,2023-12,1.1,69,2.4,1
108,서울,2024-01,-.5,67,2.3,-.1
108,서울,2024-02,3.8,73,2.5,3.3
108,서울,2024-03,7,57,2.7,7.4
108,서울,2024-04,16.3,56,2.4,17.9
108,서울,2024-05,18.5,63,2.4,22.4
108,서울,2024-06,24.6,61,2.2,30
108,서울,2024-07,26.6,81,2.5,27.5
108,서울,2024-08,29.3,73,2.1,31.2
108,서울,2024-09,25.5,72,2.3,26.2
108,서울,2024-10,16.7,70,2,17.7
108,서울,2024-11,9.7,63,2,8.9
108,서울,2024-12,.8,56,2.2,-.4
108,서울,2025-01,-.4,61,2.3,-1.1
108,서울,2025-02,-1.2,56,2.6,-.2
108,서울,2025-03,8,56,2.8,7.8
108,서울,2025-04,13.4,61,2.5,15.1
108,서울,2025-05,17.8,67,2.3,20.1
108,서울,2025-06,24,68,2.3,27.6
108,서울,2025-07,28.8,72,2.3,30.2
108,서울,2025-08,28.2,76,2.3,28.9
108,서울,2025-09,23.5,76,2,23.5
108,서울,2025-10,16.5,76,2.3,16.6
108,서울,2025-11,9,61,2.1,8.1
108,서울,2025-12,1.2,61,2.3,1
