"대여일자","대여건수"
"2025-07-01","132914"
"2025-07-02","151653"
"2025-07-03","151092"
"2025-07-04","151367"
"2025-07-05","118354"
"2025-07-06","106785"
"2025-07-07","146664"
"2025-07-08","115371"
"2025-07-09","136307"
"2025-07-10","139733"
"2025-07-11","144182"
"2025-07-12","109930"
"2025-07-13","90890"
"2025-07-14","67424"
"2025-07-15","109499"
"2025-07-16","51408"
"2025-07-17","30839"
"2025-07-18","83542"
"2025-07-19","37126"
"2025-07-20","90404"
"2025-07-21","140600"
"2025-07-22","143956"
"2025-07-23","144388"
"2025-07-24","138906"
"2025-07-25","130673"
"2025-07-26","92788"
"2025-07-27","79637"
"2025-07-28","119821"
"2025-07-29","122990"
"2025-07-30","126211"
"2025-07-31","130749"
"2025-08-01","125617"
"2025-08-02","96593"
"2025-08-03","71584"
"2025-08-04","121343"
"2025-08-05","138016"
"2025-08-06","85551"
"2025-08-07","138009"
"2025-08-08","141953"
"2025-08-09","101048"
"2025-08-10","106669"
"2025-08-11","148097"
"2025-08-12","148462"
"2025-08-13","26358"
"2025-08-14","80292"
"2025-08-15","91508"
"2025-08-16","108989"
"2025-08-17","104200"
"2025-08-18","108972"
"2025-08-19","140133"
"2025-08-20","142193"
"2025-08-21","141946"
"2025-08-22","141081"
"2025-08-23","114416"
"2025-08-24","98956"
"2025-08-25","112103"
"2025-08-26","119257"
"2025-08-27","148795"
"2025-08-28","148655"
"2025-08-29","110681"
"2025-08-30","94645"
"2025-08-31","103141"
"2025-09-01","89505"
"2025-09-02","154043"
"2025-09-03","155137"
"2025-09-04","99885"
"2025-09-05","152734"
"2025-09-06","57076"
"2025-09-07","116306"
"2025-09-08","152244"
"2025-09-09","165312"
"2025-09-10","165850"
"2025-09-11","166213"
"2025-09-12","106264"
"2025-09-13","113756"
"2025-09-14","134624"
"2025-09-15","165350"
"2025-09-16","107807"
"2025-09-17","84085"
"2025-09-18","168436"
"2025-09-19","62549"
"2025-09-20","112491"
"2025-09-21","146261"
"2025-09-22","169403"
"2025-09-23","173588"
"2025-09-24","69988"
"2025-09-25","157348"
"2025-09-26","176011"
"2025-09-27","153156"
"2025-09-28","77626"
"2025-09-29","168321"
"2025-09-30","170957"
"2025-10-01","169645"
"2025-10-02","175022"
"2025-10-03","89958"
"2025-10-04","113200"
"2025-10-05","53623"
"2025-10-06","10493"
"2025-10-07","26673"
"2025-10-08","126692"
"2025-10-09","113032"
"2025-10-10","13940"
"2025-10-11","55778"
"2025-10-12","108470"
"2025-10-13","28942"
"2025-10-14","130815"
"2025-10-15","119889"
"2025-10-16","152150"
"2025-10-17","112547"
"2025-10-18","99434"
"2025-10-19","116010"
"2025-10-20","131385"
"2025-10-21","134711"
"2025-10-22","145056"
"2025-10-23","151468"
"2025-10-24","154755"
"2025-10-25","124943"
"2025-10-26","82073"
"2025-10-27","120002"
"2025-10-28","127464"
"2025-10-29","137701"
"2025-10-30","140130"
"2025-10-31","141810"
"2025-11-01","94091"
"2025-11-02","78414"
"2025-11-03","117516"
"2025-11-04","131256"
"2025-11-05","137251"
"2025-11-06","138407"
"2025-11-07","141347"
"2025-11-08","109657"
"2025-11-09","96347"
"2025-11-10","119502"
"2025-11-11","128967"
"2025-11-12","134782"
"2025-11-13","130930"
"2025-11-14","126747"
"2025-11-15","100269"
"2025-11-16","86123"
"2025-11-17","94203"
"2025-11-18","96573"
"2025-11-19","103028"
"2025-11-20","111933"
"2025-11-21","112825"
"2025-11-22","90719"
"2025-11-23","80050"
"2025-11-24","118619"
"2025-11-25","72262"
"2025-11-26","113314"
"2025-11-27","66249"
"2025-11-28","99553"
"2025-11-29","75841"
"2025-11-30","80210"
"2025-12-01","101503"
"2025-12-02","85750"
"2025-12-03","68177"
"2025-12-04","56810"
"2025-12-05","35922"
"2025-12-06","40497"
"2025-12-07","56846"
"2025-12-08","85128"
"2025-12-09","90398"
"2025-12-10","95044"
"2025-12-11","71947"
"2025-12-12","86954"
"2025-12-13","19152"
"2025-12-14","43137"
"2025-12-15","80406"
"2025-12-16","48596"
"2025-12-17","84961"
"2025-12-18","87558"
"2025-12-19","91584"
"2025-12-20","46467"
"2025-12-21","45074"
"2025-12-22","76799"
"2025-12-23","38688"
"2025-12-24","73411"
"2025-12-25","32281"
"2025-12-26","45681"
"2025-12-27","42381"
"2025-12-28","40774"
"2025-12-29","66652"
"2025-12-30","71026"
"2025-12-31","55570"
